uuid,name,chinese,math,english,physics,chemistry,biology,sum,
7af042c3-0779-4e67-bc5f-7b62608e145a,Abcde,37,80,44,34,31,58,284,
e4768f6c-2810-429b-b601-a1dca77373cc,Abdel,70,83,73,92,88,15,421,
168befca-4383-4ea7-8331-16146d488593,Abdias,52,9,74,81,64,22,302,
952b426d-4f7a-4e43-9e96-a9772b84374e,Abdiaziz,82,21,89,18,4,23,237,
15adc3f0-2745-433b-b972-7720abd6cbd3,Abdiaziz,97,68,61,8,73,76,383,
5f749da6-e50c-409b-8712-d37e35aa6922,Abdimalik,49,70,64,66,83,1,333,
c22b4361-9975-48cb-b8bf-9e74573dd84b,Abdirahman,7,79,1,99,17,46,249,
17aca2ec-0e8e-439f-877e-9ce409a254f4,Abdishakur,5,93,43,45,50,44,280,
7b1517c4-79e7-4927-abd9-537483e6e717,Abdon,11,84,61,22,100,70,348,
ef362212-7f86-4a98-ae1f-55396712b7d9,Abdoul,100,78,1,60,2,77,318,
7fb415fe-7b19-40ef-950f-d01f8f769abd,Abdulahi,54,25,71,47,69,82,348,
38adddc5-94dc-4f1f-937a-0f517aca9b57,Abelina,60,90,22,2,91,5,270,
50b347c9-66a1-4099-8f13-563af4d3f662,Abelino,39,58,20,47,82,13,259,
9510b669-01f9-47cb-9baa-40be06c7e1d2,Abhiram,83,32,59,38,14,71,297,
83c8fe27-43e1-455f-b371-3b3f40227cd6,Abigaelle,38,67,56,62,100,44,367,
78f89276-61fb-4eae-af23-060f82bf3a1f,Abou,78,28,64,99,34,59,362,
8aea44bc-22c7-4ee8-9efa-b5e8a3df3c7e,Aboubacar,6,35,13,34,22,94,204,
117d2acd-0e45-4379-a0fc-36115326280a,Abrian,89,87,16,14,77,71,354,
80c82ede-5b17-48c8-8132-e334905b6cc0,Abubakr,82,7,66,36,89,70,350,
d63bb62b-602b-4900-ad19-0eeeb1c60a5d,Abubakr,99,22,75,57,9,68,330,
2d0934c7-30de-4f81-a8d7-6979ba46ccdb,Aby,38,2,86,7,100,52,285,
76a303ae-4296-4ac6-ac36-faedf03247ad,Aby,50,29,49,100,96,82,406,
b6484a2f-a91a-4f58-a9a2-86073d9f4a54,Acacia,68,49,37,10,47,7,218,
fcb894b3-1591-4b82-bd38-860b935bee44,Acelin,64,40,6,75,60,37,282,
5ad93a73-659d-40b0-8f4a-d22789078de2,Acen,80,38,99,62,60,29,368,
c42047c7-c2df-4429-9f4d-fac1cdd25256,Adah,8,97,41,55,36,79,316,
72a68338-1050-4834-99e1-18720d6c23fa,Adalee,94,96,97,92,51,31,461,
c0c48364-356e-4d13-a23d-83ad28da167a,Adalhi,21,32,22,84,68,95,322,
faeb4044-3977-4e1d-98fe-c0e7ac4f8487,Adalin,23,97,41,46,77,42,326,
69b92cc3-7cc3-4547-9b91-c8929b283bea,Adalina,61,32,60,58,1,5,217,
2b6336e5-323a-441f-b37c-eb98add95063,Adalina,58,46,85,35,27,45,296,
7ccfb47c-9a4f-4cf0-b5c8-47f8a73790eb,Adaly,74,73,78,46,61,43,375,
44e5b086-5416-4a6b-9247-95673688d9f4,Adalynne,17,68,85,9,22,15,216,
8542ae14-4026-488b-be71-abf099ab1e95,Adamarys,4,4,71,36,47,87,249,
68a8f531-dbbc-4da2-a758-f3ec4b68c08a,Adamarys,80,90,93,28,87,80,458,
6045ea5c-34c8-4243-8a7d-f01189283fcc,Adams,82,74,81,21,28,77,363,
dd4025fd-9310-4ce4-a8f4-b2908341738a,Adams,65,66,53,84,8,44,320,
976a7a8a-3994-4abb-8e68-b7f73b0ce830,Adarian,90,32,38,58,26,9,253,
6bd84e25-0b4a-455e-8f84-1d24ee4ab408,Addalynn,48,91,6,4,36,21,206,
77d50d88-d6f4-4b4e-adae-efbb6dcd9c24,Addie,11,76,96,0,55,78,316,
a3871e9d-aebf-4f98-9cb0-68caccb93a97,Addilyn,80,28,12,22,20,65,227,
3cfc7a1f-1e47-47fa-9a4b-b4697df5642a,Addilyn,5,4,24,13,21,16,83,
5f2eac54-458b-41bf-8550-c8159a89976a,Addysen,77,9,39,77,72,36,310,
73aba376-3eef-477b-a22e-e52deedcb116,Adeeb,19,43,55,10,16,14,157,
2c7bc1f4-4292-4d7d-baba-7121ec428252,Adelai,26,42,78,10,92,54,302,
4eec5b78-e2c8-4a49-940b-4889ab42e95e,Adelaide,7,6,5,16,96,26,156,
f9b709ce-55d4-458b-a86c-290f4df1eda0,Adele,25,57,21,70,99,42,314,
c8f8dac8-a588-471f-9d2d-2e4857337574,Adelfina,89,34,15,89,62,41,330,
4240a9f3-83f7-4da3-9190-1858c2da2ebc,Adelia,47,53,9,38,80,16,243,
a69b4368-56da-47e9-8181-cdf3c95c2974,Adeline,80,66,40,55,76,74,391,
c11d08b3-af11-4d40-9b22-d82118fd3ee4,Adelle,20,71,94,12,98,45,340,
874fbbb8-53c7-41d6-a776-15ed8bbc289c,Adelyn,34,87,49,52,67,3,292,
92655049-1d32-4459-bc83-f331639e7964,Adelyne,26,85,88,72,53,47,371,
66518586-9842-4420-880b-105a61d49785,Adelynne,70,7,24,57,48,49,255,
ab62da56-4283-4aeb-9681-4ba48b6d6614,Adem,83,87,53,20,73,80,396,
cea5575f-e272-4d50-abba-a474fb334c9d,Adeola,49,80,43,80,44,45,341,
6a7b6ec7-012b-47da-86f9-9b70ae26ac08,Adessa,6,22,90,97,98,56,369,
5d3c269f-0a6f-4284-8067-035252fff83f,Adger,0,20,75,70,12,89,266,
f06fdd14-7055-406c-8367-68eea4fc7a93,Adhvik,48,48,99,84,45,84,408,
27c342a3-da1b-46f6-bd96-b2bf18d49c61,Adia,10,62,90,12,100,9,283,
9e9b1552-90d0-4513-8e18-bfb2767d128d,Adian,37,36,29,39,19,59,219,
a5d39a30-1c33-4bb7-a645-9113634cfff6,Adianez,0,67,83,14,2,10,176,
391f8505-4eaa-4d0e-851c-f7e2e3921842,Adien,54,58,13,29,93,46,293,
4bbad1af-2a17-4319-b56f-00f14e14105e,Adilee,87,9,76,31,34,2,239,
551d1519-bf80-4ed7-8b01-e1824607ad04,Adilee,98,98,68,82,91,94,531,
48a5a7eb-c307-45fb-9379-7a05ed762afe,Adileni,47,1,64,19,99,23,253,
393844fa-6fd4-41ee-b1c6-8a3b0710d6fc,Adit,76,8,39,53,24,3,203,
ef7f9a87-c6bf-4a27-91fe-89b67401538d,Aditi,63,18,30,54,59,85,309,
85cf0be6-bb22-4942-b7f3-c3c1134ab2f2,Aditya,8,16,23,46,19,35,147,
23b89575-17a1-4cbc-8a28-c1d1f3950e75,Aditya,47,60,40,41,36,96,320,
329573c4-f11e-4cc4-93d7-292d7db74235,Adja,59,3,48,17,62,32,221,
a8e5b650-0e9a-4ec4-b5e2-f44fc3308e0c,Adlai,72,51,23,80,64,48,338,
0dcebf0e-88ec-4a1c-98d8-ed77202a4b53,Adlai,15,42,35,20,46,54,212,
5b74da66-c5a6-427d-9d6d-b9aa0df1094f,Adleigh,10,98,81,23,55,16,283,
b78cecee-da12-4590-82c5-75ad6830bc24,Adley,63,1,9,86,4,59,222,
386f66c6-3b42-46f2-9930-8528ee5b558d,Adline,92,80,63,13,60,40,348,
6a7c2948-a37c-4870-aafe-d67c8d51f90d,Adline,73,24,49,78,7,23,254,
5c0ba1ea-c9a5-4585-9ae6-3a87525cb331,Adolph,86,7,75,65,42,81,356,
c7348c4d-7477-4bc6-9870-d454cdad6cc2,Adon,56,94,70,52,74,77,423,
70dc976e-f930-45c7-bf40-48734d3e6659,Adrean,63,69,69,0,54,12,267,
f7f85bca-dd5b-4ce8-ab13-4a462bf28041,Adreanna,76,85,54,97,72,63,447,
33aac347-765a-4837-91f5-20b5b67a5817,Adreena,57,5,31,61,93,36,283,
adfb338e-86c1-4a6c-89b3-e238af636b7c,Adria,9,13,99,11,36,40,208,
404187d1-147f-45bc-af0e-c90875faf089,Adriano,16,37,49,2,50,44,198,
545b02b7-31f3-4829-aae9-ad7559a1e520,Adrina,4,16,29,57,64,98,268,
09efba3c-e7a6-45f3-a174-7f72246c559a,Adrion,8,26,77,5,57,17,190,
272325ab-63ac-4046-adf7-44c1031d3718,Adrion,46,91,17,41,56,11,262,
b0354620-3ea0-48c6-94bb-0f9986c8fc78,Adron,25,29,85,64,38,100,341,
1ad30a34-2810-4bf6-bc10-85019cedb92c,Adryana,85,15,86,90,68,17,361,
a6888a73-15f7-47d0-9ec6-e306f88a7cb5,Advait,53,80,21,69,84,99,406,
69864d23-6fb4-4921-a055-212c740c507d,Advaith,99,77,43,34,10,45,308,
fb778918-1819-486a-bb06-90a1198c4ddf,Advay,97,8,88,54,48,13,308,
8d985bd9-8a85-4779-95a2-f22258c52ad2,Advik,14,0,16,42,7,37,116,
3ecd4fc4-ad38-4670-9e2b-90d4fcbe0248,Advika,71,14,46,23,63,66,283,
02dfe091-9634-402c-92f1-b0f3cf0c3ffb,Adwoa,68,44,5,55,50,39,261,
a18f7252-ea0f-4854-b29c-a11bd061981a,Adyline,90,26,37,11,96,95,355,
3536841a-d822-43a7-a2cf-66b5577b48a9,Adyline,68,1,61,64,80,83,357,
c1a7e7ed-13b5-4bc0-86f8-6ca7023731ff,Adysen,81,89,86,85,43,6,390,
055eda28-67f8-4562-9598-b2b1d1304478,Aeden,2,51,54,63,93,53,316,
79ebd9d5-849b-44f3-99b6-5f4ee6b91a18,Aela,21,35,41,71,99,10,277,
c91c5935-0c7f-46cc-8625-be799cd8004f,Aerabella,37,12,29,43,52,8,181,
65c274fa-87db-4ef4-a818-1d995d0c0c2d,Aeriana,76,39,45,62,58,84,364,
fcec8bcb-ef6e-4dbf-8b8f-537640282e7a,Aerick,57,5,45,67,45,20,239,
1804c1a5-7ef7-4c4d-8840-a5884cd84102,Aeriel,19,54,39,39,47,51,249,
e05e9c39-8384-4596-a310-1634230ff341,Aeris,13,96,86,30,67,89,381,
a390d831-4326-4e0a-a0ee-535a4ded5328,Aeryn,42,81,56,99,74,43,395,
304d96cb-c7e7-493b-ac42-ab0e5ec40e26,Afra,95,36,98,4,20,39,292,
4e198be9-ea62-443f-bd9b-3926d88286a2,Afrika,60,22,72,19,28,19,220,
65bf3260-1572-4308-8c33-8ffc659e3a5b,Agastya,99,54,43,19,60,80,355,
9d7f7020-3c62-4100-a78e-2f74e855778d,Agatha,88,24,56,66,84,59,377,
21e17644-7875-4396-9ec9-d5779da8b6c6,Agness,33,99,9,40,10,49,240,
d850dfdd-1d87-4977-83d5-b1c6a1a9546d,Agnieszka,4,40,16,57,52,51,220,
62b63e8b-c24a-4364-8c66-c108bf02c644,Agostino,14,32,52,57,67,84,306,
6235e1e6-20f5-4760-900e-0cd68e2d61e9,Agueda,72,52,61,53,85,55,378,
0e6e0717-13fc-4db0-b7bd-3ef4d3a3bbec,Agustina,82,41,74,17,79,52,345,
828be11d-fc8f-4411-a6be-2adc7efffda8,Ahad,12,68,98,49,71,79,377,
4a0ff9f4-c5d5-426a-b20b-be843ff4eaed,Ahana,82,51,18,96,26,74,347,
4809ae69-155e-42a6-90c2-9aeac8a177eb,Ahlana,82,72,96,26,16,45,337,
177d5d56-af56-4275-80ce-c81d9c6caec7,Ahliyah,99,85,10,12,70,87,363,
8c0c3a5c-6161-4999-80e3-c0704dc464f7,Ahliyah,92,64,76,67,33,35,367,
815bfb23-f547-4caa-9393-9add1de2f3c9,Ahmari,89,47,2,37,14,51,240,
fa0f3180-15af-4a48-b445-3d8cc7d54153,Ahmed,76,31,49,45,79,51,331,
b1a8c2ad-bb0e-4b0d-a09a-13e9173552c7,Ahmod,45,36,86,85,8,45,305,
b1d6534a-d1ed-4ab5-a6c3-d5f34cedcbc1,Ahmya,77,35,25,79,17,33,266,
a7ec653d-7d3d-436b-8427-84b996f93fdf,Ahmya,59,93,95,7,97,49,400,
ef7e2d29-2181-4f1a-8751-6d44b6901978,Ahna,89,87,89,98,56,13,432,
28c6098d-059f-4fd3-b254-2d4f21572a05,Ahniya,44,94,75,54,68,25,360,
2a90aa51-3330-426f-8d93-171e0298f91e,Ahniyah,2,22,88,32,0,32,176,
88ef63f6-6b2b-4204-b407-ec33edec0eae,Ahtziri,20,11,23,38,17,96,205,
33777b23-75da-41ad-a6af-ef92f4471f2f,Ahtziri,27,97,43,6,1,22,196,
bd580303-931b-430a-af8b-b136f8e308dd,Aideen,68,29,8,37,38,99,279,
bec08326-5470-4b7a-8e5e-242f4d3e4648,Aideen,33,62,56,18,67,39,275,
9c4bf776-de5b-46ed-a514-e41cc82b02b1,Aidel,26,88,1,39,71,6,231,
f77e0971-7fc2-42f2-a060-8e9fd39e9415,Aidenn,64,86,40,63,57,26,336,
209b2180-d8fa-419e-ac09-7a6f44d51ae1,Aidenn,75,20,97,73,55,26,346,
536b0e2b-a994-43e9-bd37-f9b90b0a8897,Aidon,93,37,0,4,68,75,277,
a8d11140-f035-4f84-9968-2828bd04c6f7,Aidsa,77,16,21,15,42,20,191,
7c6ce436-887c-41cb-a7af-1e137579ad26,Aidyn,7,10,15,3,34,38,107,
1a824c1d-2980-492b-9df3-5cb85a187d9a,Aiesha,8,51,1,63,88,53,264,
033e8bf2-a11a-4e48-b24f-aeb23a5293a7,Aigner,82,9,29,26,30,47,223,
b43b4025-dd30-468c-bf58-cd272edb0f85,Aiken,36,62,95,23,66,70,352,
beab20d8-c7a3-43a8-af86-07853041da2e,Aileen,38,75,57,3,53,72,298,
6f6bfda3-79a2-49c1-a768-e5bbca66d7e4,Aileen,62,8,89,9,51,56,275,
9f11d677-b82f-4b70-abca-cfb3d279b4ab,Ailene,27,61,24,63,67,55,297,
7629a4ef-adb8-4773-8662-c109513ee8df,Ailene,75,97,19,31,20,62,304,
b7bfff13-a54c-4876-98de-e8bbb577545a,Ailish,53,19,31,65,83,67,318,
e0638238-13aa-4b0a-b0c3-1babd20da9f9,Ailynn,37,27,5,55,97,11,232,
0101ae4e-936b-4c02-afe1-5cb4d351d346,Aimar,84,57,12,89,24,93,359,
3f9cf877-8a56-4628-8940-aeb10a11fa3c,Aimee,55,92,0,27,63,54,291,
77d4461d-ce17-4677-b670-a22ecfcf8a74,Aimee,37,77,16,42,58,0,230,
6295ccfa-d00a-46a7-9a8d-008e32ac6ea0,Aimie,30,25,28,28,46,1,158,
acb0f0e7-8c22-4276-8710-8cefbfd32806,Ainsleigh,70,93,79,83,34,50,409,
e1e93448-aaa8-460b-9175-28f9a26842f1,Ainslie,99,94,25,56,82,98,454,
1df47b4c-d579-4eed-88d4-ffcff295f0d6,Airiana,30,24,43,10,54,92,253,
5dbee6fa-fe1e-41a2-8b7a-7c320e90224d,Airiel,68,69,22,47,86,36,328,
30a00492-2342-42f8-8720-d082d16f5c84,Airiel,26,22,51,81,6,40,226,
879069c0-619c-481c-9c67-6f530fe96895,Airyana,66,81,69,29,94,34,373,
c4eaf9e7-1f6d-4ca7-a459-56cc03bb5d6e,Airyana,12,75,67,63,6,34,257,
276af3ae-1053-4ed6-b617-b341e7615745,Aisa,81,21,80,6,89,5,282,
679a79ed-dac1-466b-b2c8-743f7694d77a,Aisa,4,14,40,77,14,89,238,
015b5ec8-3315-465f-af89-bc3bffb11910,Aisley,30,28,15,11,46,33,163,
ace91a30-36b1-433e-b927-07443cb1bfb2,Aixa,43,2,39,70,55,77,286,
86573365-61b3-475c-ba51-f7fb84ef7cda,Aixa,38,84,18,56,59,68,323,
8686945d-a976-41b3-a388-dd33e726805c,Aiyla,20,39,17,17,50,8,151,
b70b2fdd-ca81-4ea8-985c-d8dda8d2ffe6,Aiyla,41,67,0,77,57,91,333,
1c312ac2-2092-4902-abea-0611db6a7fc0,Aiysha,9,52,42,44,1,9,157,
72f16b8e-a6fc-4d6c-8cf7-03b704080d5f,Aj,52,17,4,97,15,36,221,
7a88ba46-da53-4bec-a1cd-572fd8670810,Ajah,85,3,67,7,14,39,215,
47f2853c-f78a-4153-b312-1a42a9ab6eeb,Ajah,8,74,16,53,95,84,330,
a509c202-5c94-4a34-927f-1093aca5a0bf,Ajah,77,45,69,95,71,7,364,
21b7b1d6-cda7-4227-92ee-92f86ebec7ed,Ajahni,46,75,62,73,61,61,378,
5d3ad9de-40cf-47f4-b07f-d6833fa06d76,Ajanae,24,59,99,86,31,26,325,
d4688093-00d2-4233-b2c5-a00cc950f40c,Ajane,3,58,43,69,74,35,282,
dc576ba5-905a-41e1-9bbe-8e48f637c6ab,Ajanee,10,66,10,30,19,40,175,
25b10c0d-93ff-4f3f-8edb-b387143727e9,Ajanee,42,88,41,70,84,90,415,
38f1c729-fc92-4153-9f4f-ca1925f5e4ed,Ajay,5,28,91,61,70,99,354,
fdb8e7bb-ee05-4616-af7f-a78e8923dab4,Ajayla,89,6,83,60,96,82,416,
8f69a75f-9758-4fed-ab46-5a51c33a8b31,Ajaysia,44,89,29,88,7,44,301,
4192e837-ccae-4651-b3a1-9a796a62cb8a,Akansha,30,52,85,70,66,40,343,
23094b12-36a4-49cc-8edb-077370789aa1,Akaysha,84,12,95,18,66,94,369,
7fa3039f-b63c-4e85-b31c-4ca5c1e4a657,Akeela,49,8,35,33,12,22,159,
3638893c-cc47-40b5-b594-1e777b601353,Akeelah,4,77,94,30,15,86,306,
eeba74df-827f-4265-a2a8-c397ed6e00a4,Akeem,62,54,83,30,36,23,288,
bdff4a45-14be-450e-994d-0bd7e6daaf9b,Akeem,0,76,31,75,91,41,314,
e2055e8c-0357-43eb-bd5a-c96fcdc1fb2e,Akeiba,43,7,24,57,14,68,213,
f32b494b-8ce8-44ee-98a3-72297456ef33,Akela,39,14,64,77,20,64,278,
48d84442-be07-481d-b400-160286664843,Akemi,67,47,15,76,15,40,260,
ef223126-9eab-49c8-8d74-2008ed5adb28,Akiba,14,3,97,17,50,90,271,
4d5ca311-5232-4953-91d9-4f165640ad63,Akiba,47,90,12,2,88,70,309,
5e8ddd5b-cbeb-45f5-b142-0c520501a10b,Akiem,87,28,36,94,29,87,361,
422d78cd-3fae-4115-b289-fec6ec6d6869,Akoni,12,13,96,54,25,48,248,
25d0c856-a3c9-410b-bba6-f0bb48a6b1c8,Akshaj,22,69,99,65,50,21,326,
2f0dc0af-33c6-43a1-b3c9-a88777762b72,Akshar,34,60,27,3,24,93,241,
fa854bfe-5be5-40b2-b44d-198c6c21980a,Akshara,57,24,22,73,47,43,266,
e4b58c1c-c220-421a-a4cc-ef210f9cfebd,Akshara,30,8,7,76,78,45,244,
b8c8c2d6-aaa9-4778-80f0-c85b63259e1a,Akshay,63,48,15,53,85,89,353,
46bfe4f3-100f-4c37-8cfe-986758c44474,Akshaya,16,65,44,25,17,94,261,
1fe72c6f-9a45-41f5-b47c-c5704bcbe67e,Alahni,64,80,46,66,81,72,409,
acde9700-fdd6-4e0f-9be1-c4c7410876da,Alain,40,17,38,77,86,34,292,
6ca5158e-e193-46a4-9ec4-273ccd418a29,Alainah,83,49,43,4,48,18,245,
3ee3ff3e-0940-4ee5-ba2b-8094e0c02f9a,Alainna,19,69,53,1,44,76,262,
e451a0f2-2bbd-4dd1-9e3b-8502c6e2b59a,Alakai,27,68,25,76,53,43,292,
b06f864d-3b1e-4596-a40a-3ad76df7fd39,Alandra,96,49,90,44,70,16,365,
78259ed0-615d-4593-ace5-4d2bcd8a9b32,Alandra,81,21,20,29,11,72,234,
1b9cb274-0bec-4ccc-b250-bd2b70c37f49,Alandra,64,71,93,79,41,18,366,
92e0af74-3d62-4aae-b621-a0251f64637b,Alanmichael,66,64,45,23,74,20,292,
bbb085d3-a753-4330-b21d-ee39b421e633,Alanna,14,53,78,47,48,0,240,
274bec35-65ca-45be-a726-b8a4bf863969,Alanna,80,17,36,18,54,78,283,
a185cbf4-66b0-48a1-82ab-2798f7d4cd1e,Alante,28,49,71,94,26,24,292,
0fdd9013-68f0-4d31-955b-83de988a7657,Alany,78,91,15,44,63,55,346,
6763f451-c770-49f1-9b97-d2638b8af9f3,Alara,42,32,72,4,22,26,198,
1b31c968-73dc-4a19-99aa-eb2cf87e320f,Alasia,47,47,99,51,31,90,365,
31037fc6-f25c-4259-9363-d90f678d3be8,Alasia,44,6,7,75,26,16,174,
dd5f6c5d-b201-4a29-84ab-44a01b58df62,Alauna,92,98,5,17,32,75,319,
91be09dd-94c3-451e-9c00-351a0ec88ac9,Alayia,0,29,33,81,95,17,255,
105b5a8a-bd31-4eb4-aa68-edbf233e09b5,Alayia,16,41,24,11,41,32,165,
60b9b95b-1b48-47ef-9905-ec9b43fc7cfb,Alayne,18,32,36,91,8,95,280,
c394a542-9a44-4e3b-980d-89b6fc700643,Alayssa,67,55,53,9,15,75,274,
4bb4c711-4dad-4732-93ec-1e1729d4d46f,Alazae,36,69,94,62,85,18,364,
9a9b4801-6914-411c-b4fd-abad31df3efb,Alban,85,57,5,88,56,47,338,
d9ca7feb-a6b5-4d30-a9c6-fd78550b4784,Albertha,84,48,32,75,9,81,329,
44ceb4b7-6836-4718-8f23-3f492479411d,Alberto,50,35,80,63,12,11,251,
39a4b229-b42e-4703-a616-e0b3ce3bdc32,Albina,74,47,37,56,94,70,378,
0ebe1113-dfb6-45f0-bf77-2d8dfd44092f,Albirda,8,42,50,39,7,16,162,
7b6ba866-b7c3-4567-a590-932feb5f7c91,Albirta,62,2,90,74,50,67,345,
fe013120-e30b-47d1-a70b-90a6cd8afcf1,Alcario,46,62,87,18,36,29,278,
8fcae699-0d96-47b8-92c2-54cd628d870d,Alcide,56,54,23,93,28,62,316,
0c78f2c3-fa1a-49d0-b8f9-c517acb79ce9,Alcides,58,51,77,1,73,84,344,
b126dff1-5ff8-427f-af8c-d0a378cb4af9,Alcides,77,67,30,83,33,80,370,
4a723c55-6f46-4593-963e-1f08fa31e195,Aldah,72,35,75,91,50,47,370,
5f25daca-adb3-4c60-a82b-181219bf87e7,Aldair,79,26,54,63,100,82,404,
07796a2d-f269-42f0-8c41-e7619138206f,Aldea,39,28,37,2,38,20,164,
7d5b3bb8-b377-41c4-bb8c-e34669591cfb,Aldin,99,47,32,59,10,46,293,
e8a811e4-6f36-484e-90a7-3d6b79d90fc2,Aldona,50,85,44,1,80,53,313,
7b223fdb-8939-4f96-b0eb-bf0b09940191,Aldona,96,67,7,60,9,55,294,
cd8915c9-8e70-4302-af1a-0c5f311bb22d,Aldor,64,91,90,99,50,74,468,
a219477e-4529-45f7-a8c6-dd18d39d0d39,Aleaha,72,63,0,20,75,77,307,
9b22a3bb-b64d-4ac3-8bd0-48c1dc39eab1,Alec,4,14,47,11,91,97,264,
fda09e19-27c4-4548-ba17-1411e7d48392,Alecxis,31,22,29,7,1,91,181,
1421cd2d-e70e-4023-9e17-db60d39f828e,Aleda,17,64,70,68,20,42,281,
d3fb6a18-cd6d-49c2-9e8e-6dc251b68876,Aleeah,70,41,30,33,86,100,360,
d64be04a-bf03-44cc-b843-b4fdfc9817bc,Aleen,54,84,19,63,42,75,337,
5221991b-380e-49e1-bb31-214facb55adc,Aleeyah,24,20,72,84,87,58,345,
ea30bf34-aa05-48ec-a339-e93ef79726ba,Aleina,11,67,100,61,70,86,395,
1d4bab69-4821-45d6-816e-8de1f9ac0924,Alejandr,54,100,54,75,13,42,338,
6aac7d0e-bc91-49a8-84ce-200ec6cab62b,Alejandrina,31,52,24,20,21,52,200,
8d30b373-124d-4169-9710-e46a5168edb5,Alejandro,19,60,37,83,1,68,268,
4cb21a71-867d-41cf-a5ad-243788443810,Aleksandr,30,41,36,90,13,89,299,
4f399dd7-616c-4953-aaa3-13b99fb7cc35,Alena,31,85,84,82,46,2,330,
068d4606-782a-4688-9424-ca1292da6d51,Alene,80,73,57,62,91,16,379,
ffe4e0f0-269a-4b53-8963-912d0bcefc73,Alenna,97,66,59,93,70,0,385,
dcad93cc-1c7e-46d9-81fe-6f1cd9605199,Alenna,66,40,10,2,37,99,254,
90ee4339-874a-423f-9fe2-731493f5c7cc,Alesa,5,30,44,90,56,77,302,
03b0b1fb-20a6-4023-9b2e-c99582f5b975,Alese,90,53,58,63,50,48,362,
f8c1edc2-256b-41c7-a31f-476b7f0f3e8c,Alessandra,24,54,61,18,82,71,310,
527f0aba-d719-41e8-8dcd-41f95e2f6e04,Alessandro,91,40,3,74,49,32,289,
7de044e8-3e3c-4883-b03d-e80d026fd7aa,Alessia,21,56,68,64,2,31,242,
0159ca66-18b3-4dfa-a359-cfcd2d0ea940,Alexanderjames,18,27,46,89,100,34,314,
7fbd0b2e-0f7c-4578-b794-ffb885881d0c,Alexandre,42,89,12,99,92,94,428,
c1830939-21e7-4121-9470-a07270eb90bf,Alexandro,76,70,70,63,87,73,439,
15987141-4cfd-41b8-aebe-2206ad5bd3b0,Alexcia,51,51,31,77,23,28,261,
43b239db-bea6-4037-b81f-f5e939b63202,Alexcis,92,60,92,45,55,64,408,
3a495128-9ff2-4551-8aa2-51ddb3db658a,Alexiana,78,32,21,85,60,44,320,
968434f7-b12c-4ccc-9f77-0442845a6270,Alexiana,21,51,80,13,0,42,207,
52c1ec50-c22c-4859-a7a5-1b3c35393de7,Alexis,78,32,12,99,20,26,267,
e080f155-5bac-4d58-a8e4-c91ef3cf09c2,Alexiz,62,100,31,47,56,78,374,
8e987cc1-b5d0-4460-ab1e-4aa7cabe621f,Alexsandra,37,63,91,67,97,100,455,
c8a23880-4514-439c-a823-8558637951f9,Alexssa,11,48,70,6,40,93,268,
cdd2bbf2-3946-4a4c-b4c4-f822d1670e78,Alexx,16,65,64,21,98,53,317,
